"","site_id","tran_id","date","col_point","1_dist","2_dist","3_dist","4_dist"
"388","sun_river","SR080","4/17/2025",2,198,505,92,110
"389","sun_river","SR080","4/17/2025",3,92,65,33,159
"390","sun_river","SR080","4/17/2025",4,221,105,97,187
"391","sun_river","SR080","4/17/2025",5,47,76,54,134
"392","sun_river","SR146","4/17/2025",1,284,151,505,227
"393","sun_river","SR146","4/17/2025",2,297,89,293,361
"394","sun_river","SR146","4/17/2025",3,345,187,366,287
"395","sun_river","SR146","4/17/2025",4,456,379,398,66
"396","sun_river","SR146","4/17/2025",5,85,64,147,62
"397","sun_river","SR116","4/17/2025",1,106,384,264,400
"398","sun_river","SR116","4/17/2025",2,253,505,412,505
"399","sun_river","SR116","4/17/2025",3,102,109,94,140
"400","sun_river","SR116","4/17/2025",4,195,173,168,51
"401","sun_river","SR116","4/17/2025",5,235,448,333,155
"402","sun_river","SR106","4/17/2025",1,345,505,505,505
"403","sun_river","SR106","4/17/2025",2,348,114,505,385
"404","sun_river","SR106","4/17/2025",3,332,270,108,492
"405","sun_river","SR106","4/17/2025",4,160,104,117,70
"406","sun_river","SR106","4/17/2025",5,30,106,112,73
"407","cove_wash","CW099","4/19/2025",1,47,88,117,111
"408","cove_wash","CW099","4/19/2025",2,143,280,177,107
"409","cove_wash","CW099","4/19/2025",3,83,180,115,116
"410","cove_wash","CW099","4/19/2025",4,226,128,288,195
"411","cove_wash","CW099","4/19/2025",5,98,95,224,155
"412","cove_wash","CW097","4/19/2025",1,96,194,103,328
"413","cove_wash","CW097","4/19/2025",2,150,83,132,79
"414","cove_wash","CW097","4/19/2025",3,146,176,302,122
"415","cove_wash","CW097","4/19/2025",4,170,181,102,140
"416","cove_wash","CW097","4/19/2025",5,332,161,46,194
"417","cove_wash","CW023","4/19/2025",1,107,85,175,43
"418","cove_wash","CW023","4/19/2025",2,64,253,78,54
"419","cove_wash","CW023","4/19/2025",3,93,52,113,122
"420","cove_wash","CW023","4/19/2025",4,112,175,113,144
"421","cove_wash","CW023","4/19/2025",5,209,321,127,238
"422","cove_wash","CW150","4/19/2025",1,102,180,168,163
"423","cove_wash","CW150","4/19/2025",2,134,485,505,505
"424","cove_wash","CW150","4/19/2025",3,505,269,250,177
"425","cove_wash","CW150","4/19/2025",4,130,172,165,126
"426","cove_wash","CW150","4/19/2025",5,108,167,137,107
"427","fort_pearce","FP013","4/20/2025",1,138,174,135,131
"428","fort_pearce","FP013","4/20/2025",2,84,122,83,105
"429","fort_pearce","FP013","4/20/2025",3,133,83,194,151
"430","fort_pearce","FP013","4/20/2025",4,125,56,88,71
"431","fort_pearce","FP013","4/20/2025",5,182,87,143,84
"432","fort_pearce","FP126","4/20/2025",1,124,86,156,134
"433","fort_pearce","FP126","4/20/2025",2,248,168,137,505
"434","fort_pearce","FP126","4/20/2025",3,60,177,141,178
"435","fort_pearce","FP126","4/20/2025",4,178,110,99,61
"436","fort_pearce","FP126","4/20/2025",5,117,182,185,106
"437","fort_pearce","FP079","4/20/2025",1,139,147,115,95
"438","fort_pearce","FP079","4/20/2025",2,211,84,147,201
"439","fort_pearce","FP079","4/20/2025",3,103,123,122,192
"440","fort_pearce","FP079","4/20/2025",4,96,78,134,91
"441","fort_pearce","FP079","4/20/2025",5,87,153,79,125
"442","fort_pearce","FP149","4/20/2025",1,123,149,169,54
"443","fort_pearce","FP149","4/20/2025",2,138,208,121,74
"444","fort_pearce","FP149","4/20/2025",3,141,103,90,72
"445","fort_pearce","FP149","4/20/2025",4,119,127,135,78
"446","fort_pearce","FP149","4/20/2025",5,505,505,207,292
"447","fort_pearce","FP038","4/20/2025",1,146,163,139,57
"448","fort_pearce","FP038","4/20/2025",2,144,99,76,167
"449","fort_pearce","FP038","4/20/2025",3,146,191,74,83
"450","fort_pearce","FP038","4/20/2025",4,157,304,66,133
"451","fort_pearce","FP038","4/20/2025",5,239,203,343,290
